 tempo     90  90_std        dia tipo_vento
253.54 -34.88    0.05 2005-09-10 meridional
254.54  -7.96    1.77 2005-09-11 meridional
255.54  -8.20    0.23 2005-09-12 meridional
256.54 -59.36    0.09 2005-09-13 meridional
257.54 -27.38    0.61 2005-09-14 meridional
258.54 -65.28    0.56 2005-09-15 meridional
259.54  -7.26    0.76 2005-09-16 meridional
260.54 -16.57    0.29 2005-09-17 meridional
261.54  -1.80    0.64 2005-09-18 meridional
262.54  -1.81    0.19 2005-09-19 meridional
263.54  71.49    0.34 2005-09-20 meridional
264.54 -21.05    1.12 2005-09-21 meridional
265.54  37.81    0.38 2005-09-22 meridional
266.54  -4.30    0.90 2005-09-23 meridional
267.54  14.79    0.06 2005-09-24 meridional
268.54 -32.29    0.21 2005-09-25 meridional
269.54   9.30    0.62 2005-09-26 meridional
270.54  -9.53    0.28 2005-09-27 meridional
271.54 -25.33    0.03 2005-09-28 meridional
272.54  29.22    0.25 2005-09-29 meridional
273.50   5.93    0.11 2005-09-30 meridional
274.54  -9.90    0.10 2005-10-01 meridional
275.54 -11.56    0.32 2005-10-02 meridional
276.54 -17.75    0.38 2005-10-03 meridional
277.54  15.63    0.47 2005-10-04 meridional
278.54   7.51    0.12 2005-10-05 meridional
279.54   9.57    0.05 2005-10-06 meridional
280.54  19.42    1.07 2005-10-07 meridional
281.54  12.10    0.07 2005-10-08 meridional
282.54 -57.43    0.16 2005-10-09 meridional
283.54  24.51    0.36 2005-10-10 meridional
284.54 -43.52    0.17 2005-10-11 meridional
285.54  18.26    0.29 2005-10-12 meridional
286.54 -74.23    1.07 2005-10-13 meridional
287.54 -25.16    0.49 2005-10-14 meridional
288.54  10.06    0.36 2005-10-15 meridional
289.54 -21.91    0.80 2005-10-16 meridional
290.54 -11.59    0.03 2005-10-17 meridional
291.54 -13.86    0.16 2005-10-18 meridional
292.54  -6.38    1.08 2005-10-19 meridional
293.54  14.47    0.03 2005-10-20 meridional
294.54 -30.06    0.32 2005-10-21 meridional
295.54 -16.83    0.01 2005-10-22 meridional
296.54 -14.46    0.83 2005-10-23 meridional
297.54   7.21    0.19 2005-10-24 meridional
298.54   7.61    0.55 2005-10-25 meridional
300.54   4.74    0.19 2005-10-27 meridional
301.54  10.80    0.63 2005-10-28 meridional
302.54 -20.43    0.51 2005-10-29 meridional
303.54 -10.85    0.27 2005-10-30 meridional
304.50 -14.51    0.14 2005-10-31 meridional
305.54 -20.02    0.01 2005-11-01 meridional
306.54 -51.91    0.58 2005-11-02 meridional
307.54  19.23    0.28 2005-11-03 meridional
308.54 -33.48    0.24 2005-11-04 meridional
309.54  -7.12    0.11 2005-11-05 meridional
310.54 -34.76    0.23 2005-11-06 meridional
311.54   6.64    0.41 2005-11-07 meridional
312.54  10.21    0.41 2005-11-08 meridional
313.54    NaN     NaN 2005-11-09 meridional
314.54  11.62    0.40 2005-11-10 meridional
315.54 -64.65    0.38 2005-11-11 meridional
316.54 -34.43    0.38 2005-11-12 meridional
317.54 -50.21    0.51 2005-11-13 meridional
318.54  -4.18    0.20 2005-11-14 meridional
319.54 -24.40    0.27 2005-11-15 meridional
320.54  -7.12    0.57 2005-11-16 meridional
321.54   9.54    1.01 2005-11-17 meridional
322.54 -22.58    0.17 2005-11-18 meridional
323.54  -0.68    0.52 2005-11-19 meridional
324.54 -21.68    0.08 2005-11-20 meridional
325.54  -6.34    0.07 2005-11-21 meridional
326.54 -16.74    0.88 2005-11-22 meridional
327.54 -32.69    0.69 2005-11-23 meridional
328.54 -36.35    0.97 2005-11-24 meridional
329.54 -10.52    0.35 2005-11-25 meridional
330.54 -23.65    0.13 2005-11-26 meridional
331.54  36.83    0.61 2005-11-27 meridional
332.54 -29.37    0.25 2005-11-28 meridional
333.54  -4.92    1.10 2005-11-29 meridional
334.50 -14.59    0.30 2005-11-30 meridional
335.54 -32.67    0.12 2005-12-01 meridional
336.54 -61.73    0.27 2005-12-02 meridional
337.54 -28.78    0.12 2005-12-03 meridional
338.54 -10.48    0.11 2005-12-04 meridional
339.54 -10.83    0.24 2005-12-05 meridional
340.54 -21.98    0.49 2005-12-06 meridional
341.54 -27.49    0.06 2005-12-07 meridional
342.54 -19.88    0.13 2005-12-08 meridional
343.54  -4.43    0.13 2005-12-09 meridional
344.54  -9.57    0.17 2005-12-10 meridional
345.54  36.83    0.01 2005-12-11 meridional
346.54  19.85    0.95 2005-12-12 meridional
347.54 -43.45    0.37 2005-12-13 meridional
348.54  -6.50    0.53 2005-12-14 meridional
349.54 -21.40    0.61 2005-12-15 meridional
350.54 -24.95    0.91 2005-12-16 meridional
351.54 -49.38    0.30 2005-12-17 meridional
352.54 -21.42    0.00 2005-12-18 meridional
353.54  25.51    0.37 2005-12-19 meridional
354.54  36.54    0.43 2005-12-20 meridional
355.54  22.92    0.01 2005-12-21 meridional
356.54 -26.41    0.03 2005-12-22 meridional
357.54  20.38    0.23 2005-12-23 meridional
358.54  -3.85    0.48 2005-12-24 meridional
359.54  32.00    0.02 2005-12-25 meridional
360.54 -53.62    0.21 2005-12-26 meridional
361.54  -9.65    0.16 2005-12-27 meridional
362.54 -46.69    0.33 2005-12-28 meridional
363.54 -26.60    0.22 2005-12-29 meridional
364.54 -16.46    0.08 2005-12-30 meridional
365.50  -7.25    0.23 2005-12-31 meridional
  1.54 -66.75    0.45 2006-01-01 meridional
  2.54  22.49    0.11 2006-01-02 meridional
  3.54 -36.33    0.51 2006-01-03 meridional
  4.54   6.17    0.17 2006-01-04 meridional
  5.54  43.25    0.17 2006-01-05 meridional
  6.54  34.19    0.14 2006-01-06 meridional
  7.54  52.95    0.17 2006-01-07 meridional
  8.54   8.74    0.17 2006-01-08 meridional
  9.54  88.70    0.32 2006-01-09 meridional
 10.54  56.71    0.35 2006-01-10 meridional
 11.54  77.41    0.26 2006-01-11 meridional
 12.54  14.32    0.27 2006-01-12 meridional
 13.54  21.45    0.41 2006-01-13 meridional
 14.54  60.72    0.05 2006-01-14 meridional
 15.54 -43.12    1.72 2006-01-15 meridional
 16.54  67.53    0.10 2006-01-16 meridional
 17.54   4.36    0.09 2006-01-17 meridional
 18.54  80.34    0.15 2006-01-18 meridional
 19.54  -2.65    0.24 2006-01-19 meridional
 20.54  39.10    0.30 2006-01-20 meridional
 21.54  71.00    0.86 2006-01-21 meridional
 22.54 -11.75    0.57 2006-01-22 meridional
 23.54  50.13    0.11 2006-01-23 meridional
 24.54 -94.16    0.08 2006-01-24 meridional
 25.54 117.43    0.21 2006-01-25 meridional
 26.54  -2.77    0.09 2006-01-26 meridional
 27.54  70.63    0.44 2006-01-27 meridional
 28.54 -37.64    0.70 2006-01-28 meridional
 29.54    NaN    0.00 2006-01-29 meridional
 30.54  21.48    0.38 2006-01-30 meridional
 31.50  75.78    0.39 2006-01-31 meridional
 32.54 -11.25    1.54 2006-02-01 meridional
 33.54  10.08    0.27 2006-02-02 meridional
 34.54  43.66    0.26 2006-02-03 meridional
 35.54  33.29    0.47 2006-02-04 meridional
 36.54  43.44    0.08 2006-02-05 meridional
 37.54 -15.31    0.25 2006-02-06 meridional
 38.54  30.54    0.29 2006-02-07 meridional
 39.54 -66.03    0.32 2006-02-08 meridional
 40.54   5.32    0.50 2006-02-09 meridional
 41.54 -55.15    0.71 2006-02-10 meridional
 42.54   2.60    0.43 2006-02-11 meridional
 43.54 -35.19    0.36 2006-02-12 meridional
 44.54 -13.79    0.87 2006-02-13 meridional
 45.54  -7.00    0.57 2006-02-14 meridional
 46.54 -33.68    0.55 2006-02-15 meridional
 47.54    NaN    0.00 2006-02-16 meridional
